City,Locality,Size_sqft,Property_Type,Age_years,Distance_to_metro_km,Amenities_score,Price_per_sqft,Total_Price_Cr,Estimated_Monthly_Rent
Hyderabad,Gachibowli,3000,Villa,6,8.54,6,31000,9.3,271250
Hyderabad,Gachibowli,3500,Villa,20,6.68,9,23000,8.05,234791
Hyderabad,Gachibowli,2500,Apartment,8,3.87,5,16500,4.12,120312
Hyderabad,Gachibowli,3500,Villa,13,2.87,5,30500,10.68,311354
Hyderabad,Gachibowli,750,Apartment,10,6.42,10,5500,0.41,12031
Hyderabad,Gachibowli,1800,Villa,5,8.01,9,23000,4.14,120750
Hyderabad,Gachibowli,3500,Apartment,13,5.08,5,20000,7.0,204166
Hyderabad,Gachibowli,1000,Apartment,22,2.19,9,5000,0.5,14583
Hyderabad,Gachibowli,900,Apartment,11,0.54,8,7000,0.63,18375
Hyderabad,Gachibowli,1200,Villa,1,6.56,7,14000,1.68,49000
Hyderabad,Gachibowli,900,Apartment,11,9.68,10,7000,0.63,18375
Hyderabad,Gachibowli,1800,Apartment,21,9.65,7,9000,1.62,47250
Hyderabad,Gachibowli,3000,Apartment,13,4.04,6,18500,5.55,161875
Hyderabad,Gachibowli,1350,Apartment,25,8.56,8,6500,0.88,25593
Hyderabad,Gachibowli,750,Villa,5,5.7,8,8500,0.64,18593
Hyderabad,Gachibowli,3500,Apartment,23,9.38,7,17000,5.95,173541
Hyderabad,Gachibowli,1350,Apartment,25,1.24,8,8000,1.08,31500
Hyderabad,Gachibowli,900,Apartment,15,6.27,6,6500,0.58,17062
Hyderabad,Gachibowli,2500,Villa,11,7.49,6,22500,5.62,164062
Hyderabad,Gachibowli,1500,Apartment,0,7.06,8,11000,1.65,48125
Hyderabad,Gachibowli,2000,Apartment,8,3.15,7,15000,3.0,87500
Hyderabad,Gachibowli,2200,Villa,20,8.15,10,17000,3.74,109083
Hyderabad,Gachibowli,3000,Apartment,10,9.16,5,18500,5.55,161875
Hyderabad,Gachibowli,1800,Villa,5,5.26,5,21000,3.78,110250
Hyderabad,Gachibowli,1200,Villa,19,6.6,7,10000,1.2,35000
Hyderabad,Gachibowli,2000,Apartment,13,7.11,8,12500,2.5,72916
Hyderabad,Gachibowli,3000,Villa,6,3.58,5,29000,8.7,253750
Hyderabad,Gachibowli,2500,Apartment,0,3.94,7,18500,4.62,134895
Hyderabad,Gachibowli,2500,Villa,2,0.65,9,24000,6.0,175000
Hyderabad,Gachibowli,2000,Apartment,21,4.82,10,9000,1.8,52500
Hyderabad,Gachibowli,2000,Villa,16,6.03,10,17500,3.5,102083
Hyderabad,Gachibowli,2500,Villa,10,0.6,10,21000,5.25,153125
Hyderabad,Gachibowli,2000,Apartment,17,5.37,6,11000,2.2,64166
Hyderabad,Gachibowli,2500,Villa,21,7.77,10,19000,4.75,138541
Hyderabad,Gachibowli,1350,Villa,19,1.13,8,10000,1.35,39375
Hyderabad,Gachibowli,3000,Villa,0,0.8,7,37000,11.1,323750
Hyderabad,Gachibowli,1500,Villa,13,6.48,8,16000,2.4,70000
Hyderabad,Gachibowli,2500,Apartment,14,7.34,9,14500,3.62,105729
Hyderabad,Gachibowli,2500,Apartment,25,3.43,10,12000,3.0,87500
Hyderabad,Gachibowli,1000,Villa,9,8.01,5,10000,1.0,29166
Hyderabad,Gachibowli,1800,Villa,21,1.06,6,12000,2.16,63000
Hyderabad,Gachibowli,1500,Apartment,4,0.55,5,10500,1.57,45937
Hyderabad,Gachibowli,1800,Apartment,15,1.98,8,12000,2.16,63000
Hyderabad,Gachibowli,2500,Apartment,20,1.82,10,13000,3.25,94791
Hyderabad,Gachibowli,3500,Villa,12,7.23,8,25500,8.93,260312
Hyderabad,Gachibowli,1800,Apartment,4,6.7,5,13500,2.43,70875
Hyderabad,Gachibowli,2500,Apartment,7,6.23,10,18500,4.62,134895
Hyderabad,Gachibowli,3000,Apartment,14,4.37,9,16000,4.8,140000
Hyderabad,Gachibowli,1800,Villa,3,7.65,6,17500,3.15,91875
Hyderabad,Gachibowli,2500,Villa,21,0.44,8,18000,4.5,131250
Hyderabad,Gachibowli,3000,Villa,23,1.25,9,23500,7.05,205625
Hyderabad,Gachibowli,2500,Villa,5,5.07,8,22000,5.5,160416
Hyderabad,Gachibowli,1800,Apartment,24,4.51,10,9000,1.62,47250
Hyderabad,Gachibowli,1800,Villa,24,4.17,10,14500,2.61,76125
Hyderabad,Gachibowli,1800,Villa,8,0.74,5,19500,3.51,102375
Hyderabad,Hitech City,1800,Villa,7,3.93,7,19000,3.42,99750
Hyderabad,Hitech City,2000,Apartment,17,8.61,6,14000,2.8,81666
Hyderabad,Hitech City,1350,Villa,7,6.69,10,14500,1.96,57093
Hyderabad,Hitech City,1350,Apartment,22,5.98,5,7500,1.01,29531
Hyderabad,Hitech City,2500,Villa,13,9.42,9,19000,4.75,138541
Hyderabad,Hitech City,2500,Apartment,13,6.54,6,17000,4.25,123958
Hyderabad,Hitech City,2500,Apartment,12,4.75,9,16500,4.12,120312
Hyderabad,Hitech City,2200,Apartment,15,4.05,7,13500,2.97,86625
Hyderabad,Hitech City,2000,Villa,24,9.62,8,14000,2.8,81666
Hyderabad,Hitech City,3000,Apartment,23,3.39,8,15000,4.5,131250
Hyderabad,Hitech City,1500,Villa,8,8.5,8,15000,2.25,65625
Hyderabad,Hitech City,750,Villa,12,7.06,10,8000,0.6,17500
Hyderabad,Hitech City,3500,Villa,25,6.4,10,23500,8.22,239895
Hyderabad,Hitech City,1350,Apartment,14,8.09,9,9500,1.28,37406
Hyderabad,Hitech City,3000,Villa,0,3.04,9,34000,10.2,297500
Hyderabad,Hitech City,3000,Apartment,21,8.13,5,14500,4.35,126875
Hyderabad,Hitech City,3500,Apartment,13,9.91,8,17500,6.12,178645
Hyderabad,Hitech City,1500,Villa,1,7.83,8,16000,2.4,70000
Hyderabad,Hitech City,2000,Villa,6,3.61,7,23500,4.7,137083
Hyderabad,Hitech City,2000,Villa,24,7.62,7,14000,2.8,81666
Hyderabad,Hitech City,2500,Apartment,8,1.3,8,17000,4.25,123958
Hyderabad,Hitech City,750,Apartment,23,8.32,7,5000,0.38,10937
Hyderabad,Hitech City,1500,Apartment,20,3.4,10,8500,1.27,37187
Hyderabad,Hitech City,900,Apartment,24,0.41,6,5500,0.49,14437
Hyderabad,Hitech City,1500,Apartment,0,9.08,6,12000,1.8,52500
Hyderabad,Hitech City,1200,Apartment,15,9.52,9,7500,0.9,26250
Hyderabad,Hitech City,1500,Villa,14,9.52,7,16500,2.48,72187
Hyderabad,Hitech City,1350,Apartment,19,4.65,6,9000,1.22,35437
Hyderabad,Hitech City,2000,Apartment,3,3.14,7,16500,3.3,96250
Hyderabad,Hitech City,3000,Villa,21,7.6,8,20000,6.0,175000
Hyderabad,Hitech City,1500,Apartment,2,7.98,5,11500,1.73,50312
Hyderabad,Hitech City,3500,Villa,24,5.63,10,23500,8.22,239895
Hyderabad,Hitech City,3000,Apartment,25,4.58,9,13500,4.05,118125
Hyderabad,Hitech City,900,Villa,11,1.44,10,10500,0.94,27562
Hyderabad,Hitech City,2200,Villa,2,1.69,5,25500,5.61,163625
Hyderabad,Hitech City,2500,Apartment,15,1.28,8,16500,4.12,120312
Hyderabad,Hitech City,2200,Villa,20,1.12,10,17000,3.74,109083
Hyderabad,Hitech City,1350,Apartment,13,8.27,10,9500,1.28,37406
Hyderabad,Hitech City,3000,Villa,20,7.15,9,25000,7.5,218750
Hyderabad,Hitech City,3000,Villa,24,9.49,8,20000,6.0,175000
Hyderabad,Hitech City,2500,Villa,23,9.86,7,17000,4.25,123958
Hyderabad,Hitech City,1800,Villa,2,1.11,8,22500,4.05,118125
Hyderabad,Hitech City,1800,Villa,24,7.84,9,11000,1.98,57750
Hyderabad,Hitech City,3000,Villa,21,9.09,7,25000,7.5,218750
Hyderabad,Hitech City,750,Villa,15,1.38,6,7500,0.56,16406
Hyderabad,Hitech City,2500,Villa,6,4.85,7,25000,6.25,182291
Hyderabad,Hitech City,2000,Villa,8,0.85,9,22000,4.4,128333
Hyderabad,Hitech City,750,Apartment,16,5.96,5,5500,0.41,12031
Hyderabad,Hitech City,1800,Villa,23,9.63,8,12000,2.16,63000
Hyderabad,Hitech City,3000,Apartment,24,8.73,10,13500,4.05,118125
Hyderabad,Hitech City,2500,Villa,20,2.47,8,19500,4.88,142187
Hyderabad,Hitech City,750,Villa,2,9.93,6,10500,0.79,22968
Hyderabad,Hitech City,2500,Apartment,22,1.02,7,13500,3.38,98437
Hyderabad,Hitech City,3500,Villa,18,5.37,8,27000,9.45,275625
Hyderabad,Hitech City,3000,Villa,16,6.41,8,24000,7.2,210000
Hyderabad,Hitech City,3000,Villa,10,6.39,10,31500,9.45,275625
Hyderabad,Hitech City,2500,Villa,8,5.97,7,24000,6.0,175000
Hyderabad,Hitech City,1500,Apartment,3,6.32,7,13000,1.95,56875
Hyderabad,Hitech City,1200,Apartment,23,2.99,6,6500,0.78,22750
Hyderabad,Hitech City,1500,Villa,23,3.73,7,10500,1.57,45937
Hyderabad,Hitech City,3000,Villa,24,5.96,5,17500,5.25,153125
Hyderabad,Hitech City,1500,Apartment,9,8.19,7,11000,1.65,48125
Hyderabad,Hitech City,1500,Apartment,9,6.94,10,11500,1.73,50312
Hyderabad,Hitech City,3000,Villa,4,4.36,5,34000,10.2,297500
Hyderabad,Hitech City,900,Villa,17,9.35,10,8500,0.77,22312
Hyderabad,Hitech City,1200,Villa,20,8.16,5,10000,1.2,35000
Hyderabad,Hitech City,750,Villa,18,9.88,8,7500,0.56,16406
Hyderabad,Hitech City,2500,Villa,14,3.99,6,20000,5.0,145833
Hyderabad,Hitech City,900,Villa,8,9.71,5,10500,0.94,27562
Hyderabad,Hitech City,1000,Villa,12,4.85,5,10500,1.05,30625
Hyderabad,Hitech City,3000,Apartment,20,4.32,6,15500,4.65,135625
Hyderabad,Hitech City,1350,Villa,25,8.69,5,10000,1.35,39375
Hyderabad,Hitech City,1800,Villa,3,8.19,9,22500,4.05,118125
Hyderabad,Hitech City,3000,Apartment,25,9.46,9,14500,4.35,126875
Hyderabad,Hitech City,2200,Villa,14,8.54,7,19000,4.18,121916
Hyderabad,Hitech City,3000,Villa,13,1.55,9,22500,6.75,196875
Hyderabad,Hitech City,3000,Apartment,1,9.55,6,19500,5.85,170625
Hyderabad,Hitech City,3500,Villa,6,6.82,10,35000,12.25,357291
Hyderabad,Hitech City,1000,Apartment,5,6.3,6,7500,0.75,21875
Hyderabad,Hitech City,3000,Apartment,2,6.81,5,21000,6.3,183750
Hyderabad,Hitech City,2500,Villa,14,5.35,7,22000,5.5,160416
Hyderabad,Hitech City,900,Villa,7,8.57,10,11500,1.03,30187
Hyderabad,Hitech City,1800,Villa,22,5.65,5,15000,2.7,78750
Hyderabad,Hitech City,3500,Villa,7,4.21,10,33500,11.72,341979
Hyderabad,Hitech City,3000,Apartment,21,1.6,8,17000,5.1,148750
Hyderabad,Hitech City,1200,Apartment,17,2.37,10,8000,0.96,28000
Hyderabad,Hitech City,1350,Apartment,8,1.62,5,8500,1.15,33468
Hyderabad,Hitech City,900,Villa,5,4.54,9,12000,1.08,31500
Hyderabad,Hitech City,3000,Villa,9,9.07,5,28500,8.55,249375
Hyderabad,Hitech City,2500,Villa,22,7.9,10,15500,3.88,113020
Hyderabad,Hitech City,2200,Villa,8,4.15,8,23500,5.17,150791
Hyderabad,Hitech City,1000,Apartment,19,9.51,8,6500,0.65,18958
Hyderabad,Hitech City,2000,Villa,19,1.73,5,16500,3.3,96250
Hyderabad,Hitech City,1000,Apartment,7,2.8,10,8500,0.85,24791
Hyderabad,Hitech City,1800,Apartment,18,4.75,6,10500,1.89,55125
Hyderabad,Hitech City,2500,Villa,16,3.49,7,22000,5.5,160416
Hyderabad,Hitech City,1500,Villa,18,6.44,10,13000,1.95,56875
Hyderabad,Hitech City,2500,Villa,2,1.55,7,26500,6.62,193229
Hyderabad,Hitech City,2500,Villa,10,1.54,10,21500,5.38,156770
Hyderabad,Hitech City,1200,Villa,5,3.65,8,14500,1.74,50750
Hyderabad,Hitech City,3500,Villa,15,9.0,10,33500,11.72,341979
Hyderabad,Hitech City,2200,Apartment,24,1.97,8,10500,2.31,67375
Hyderabad,Hitech City,1000,Villa,10,2.17,7,10000,1.0,29166
Hyderabad,Hitech City,1200,Villa,24,1.16,9,9000,1.08,31500
Hyderabad,Hitech City,750,Villa,21,1.47,8,6000,0.45,13125
Hyderabad,Hitech City,900,Villa,6,3.83,9,10500,0.94,27562
Hyderabad,Hitech City,2500,Villa,20,5.18,5,19000,4.75,138541
Hyderabad,Hitech City,1500,Apartment,8,8.05,7,11000,1.65,48125
Hyderabad,Hitech City,2500,Villa,22,6.39,5,20000,5.0,145833
Hyderabad,Hitech City,750,Apartment,20,7.56,10,4500,0.34,9843
Hyderabad,Hitech City,1350,Apartment,9,2.09,9,9500,1.28,37406
Hyderabad,Hitech City,2500,Apartment,2,5.0,5,16500,4.12,120312
Hyderabad,Hitech City,2500,Apartment,3,6.3,8,17500,4.38,127604
Hyderabad,Hitech City,1800,Villa,16,7.55,8,13000,2.34,68250
Hyderabad,Hitech City,2500,Apartment,15,0.66,8,16000,4.0,116666
Hyderabad,Hitech City,3000,Villa,4,8.98,6,28000,8.4,245000
Hyderabad,Hitech City,3000,Apartment,16,5.26,5,15500,4.65,135625
Hyderabad,Hitech City,1800,Villa,24,4.64,7,13500,2.43,70875
Hyderabad,Hitech City,3000,Apartment,8,5.47,7,18500,5.55,161875
Hyderabad,Hitech City,2000,Villa,18,3.96,6,15500,3.1,90416
Hyderabad,Hitech City,2500,Villa,17,0.49,7,19000,4.75,138541
Hyderabad,Hitech City,2000,Villa,17,3.48,8,16000,3.2,93333
Hyderabad,Hitech City,2000,Apartment,6,1.46,9,14500,2.9,84583
Hyderabad,Hitech City,2200,Villa,7,6.89,5,24000,5.28,154000
Hyderabad,Hitech City,2000,Villa,23,7.95,10,14000,2.8,81666
Hyderabad,Hitech City,2200,Apartment,12,5.51,8,14000,3.08,89833
Hyderabad,Hitech City,900,Villa,4,5.99,5,10500,0.94,27562
Hyderabad,Hitech City,2500,Villa,3,1.54,5,30000,7.5,218750
Hyderabad,Hitech City,1350,Apartment,13,3.05,5,10000,1.35,39375
Hyderabad,Hitech City,2500,Villa,25,5.84,7,15500,3.88,113020
Hyderabad,Hitech City,3500,Villa,22,3.75,10,25000,8.75,255208
Hyderabad,Hitech City,1000,Villa,10,2.6,7,11000,1.1,32083
Hyderabad,Hitech City,3500,Villa,22,1.29,9,24000,8.4,245000
Hyderabad,Hitech City,900,Apartment,19,1.86,6,5500,0.49,14437
Hyderabad,Hitech City,3500,Villa,21,2.11,6,23500,8.22,239895
Hyderabad,Hitech City,1000,Apartment,13,9.0,10,7000,0.7,20416
Hyderabad,Hitech City,3500,Villa,3,1.08,6,28000,9.8,285833
Hyderabad,Hitech City,3500,Apartment,9,9.83,5,23000,8.05,234791
Hyderabad,Hitech City,2000,Apartment,25,1.39,7,10000,2.0,58333
Hyderabad,Hitech City,2200,Villa,11,8.7,6,20500,4.51,131541
Hyderabad,Hitech City,1800,Villa,16,8.23,9,15000,2.7,78750
Hyderabad,Hitech City,3500,Apartment,25,6.79,6,15000,5.25,153125
Hyderabad,Hitech City,1350,Villa,2,9.31,9,18500,2.5,72843
Hyderabad,Hitech City,3500,Villa,7,3.02,9,37500,13.12,382812
Hyderabad,Hitech City,1350,Villa,7,7.76,10,14000,1.89,55125
Hyderabad,Hitech City,1800,Villa,14,4.43,10,15000,2.7,78750
Hyderabad,Hitech City,750,Villa,25,5.22,7,6000,0.45,13125
Hyderabad,Hitech City,3500,Apartment,17,6.22,5,18500,6.47,188854
Hyderabad,Hitech City,2500,Villa,11,3.1,10,21000,5.25,153125
Hyderabad,Hitech City,2500,Villa,22,4.97,8,19000,4.75,138541
Hyderabad,Madhapur,2000,Villa,6,5.47,8,19500,3.9,113750
Hyderabad,Madhapur,1200,Villa,7,1.6,9,12000,1.44,42000
Hyderabad,Madhapur,2200,Villa,18,0.91,10,16500,3.63,105875
Hyderabad,Madhapur,2000,Villa,0,6.91,7,23000,4.6,134166
Hyderabad,Madhapur,750,Apartment,18,7.67,9,4500,0.34,9843
Hyderabad,Madhapur,2500,Apartment,9,4.29,9,18500,4.62,134895
Hyderabad,Madhapur,2200,Apartment,7,3.68,9,15000,3.3,96250
Hyderabad,Madhapur,1800,Apartment,21,2.06,10,9500,1.71,49875
Hyderabad,Madhapur,1000,Apartment,20,0.95,7,6000,0.6,17500
Hyderabad,Madhapur,2500,Villa,1,8.47,10,29000,7.25,211458
Hyderabad,Madhapur,1200,Villa,2,1.66,7,13000,1.56,45500
Hyderabad,Madhapur,2500,Apartment,5,1.89,6,17500,4.38,127604
Hyderabad,Madhapur,3000,Villa,11,1.89,6,26500,7.95,231875
Hyderabad,Madhapur,1800,Villa,15,5.37,10,16500,2.97,86625
Hyderabad,Madhapur,2000,Apartment,25,3.78,8,9000,1.8,52500
Hyderabad,Madhapur,1000,Apartment,4,8.22,10,8500,0.85,24791
Hyderabad,Madhapur,3500,Villa,12,4.56,5,27000,9.45,275625
Hyderabad,Madhapur,2200,Villa,0,3.22,9,19500,4.29,125125
Hyderabad,Madhapur,1200,Villa,14,7.55,10,9500,1.14,33250
Hyderabad,Madhapur,3500,Villa,8,9.03,10,31000,10.85,316458
Hyderabad,Madhapur,2200,Apartment,3,4.02,8,16500,3.63,105875
Hyderabad,Madhapur,750,Villa,19,6.36,9,7000,0.53,15312
Hyderabad,Madhapur,1500,Apartment,20,1.43,10,8500,1.27,37187
Hyderabad,Madhapur,2500,Villa,22,3.55,10,18500,4.62,134895
Hyderabad,Madhapur,2500,Apartment,3,1.65,5,18000,4.5,131250
Hyderabad,Madhapur,900,Villa,9,5.47,5,10500,0.94,27562
Hyderabad,Madhapur,1000,Apartment,7,8.97,8,7000,0.7,20416
Hyderabad,Madhapur,2500,Villa,11,3.32,9,22500,5.62,164062
Hyderabad,Madhapur,1350,Apartment,13,2.71,8,9500,1.28,37406
Hyderabad,Madhapur,3000,Villa,13,8.8,5,25500,7.65,223125
Hyderabad,Madhapur,3500,Apartment,11,3.62,8,22000,7.7,224583
Hyderabad,Madhapur,2500,Villa,7,1.75,5,22500,5.62,164062
Hyderabad,Madhapur,3500,Villa,11,2.52,5,31500,11.03,321562
Hyderabad,Madhapur,2200,Apartment,8,6.52,5,15500,3.41,99458
Hyderabad,Madhapur,2500,Apartment,2,7.03,10,15500,3.88,113020
Hyderabad,Madhapur,3500,Apartment,19,3.65,5,17500,6.12,178645
Hyderabad,Madhapur,2000,Apartment,7,2.06,9,13500,2.7,78750
Hyderabad,Madhapur,1500,Apartment,2,4.19,9,12000,1.8,52500
Hyderabad,Madhapur,1500,Villa,7,4.78,6,15500,2.33,67812
Hyderabad,Madhapur,3000,Villa,0,6.23,6,37000,11.1,323750
Hyderabad,Madhapur,1200,Villa,17,0.48,6,12000,1.44,42000
Hyderabad,Madhapur,1200,Apartment,21,9.25,6,7000,0.84,24500
Hyderabad,Madhapur,750,Apartment,11,7.16,9,5500,0.41,12031
Hyderabad,Madhapur,2000,Apartment,0,6.19,7,13500,2.7,78750
Hyderabad,Madhapur,900,Villa,4,4.41,9,10500,0.94,27562
Hyderabad,Madhapur,1200,Apartment,23,9.28,8,6500,0.78,22750
Hyderabad,Madhapur,2500,Villa,24,4.67,9,20000,5.0,145833
Hyderabad,Madhapur,3000,Villa,3,4.17,9,30500,9.15,266875
Hyderabad,Madhapur,1500,Apartment,19,0.83,10,9000,1.35,39375
Hyderabad,Madhapur,3500,Villa,16,0.34,8,25500,8.93,260312
Hyderabad,Madhapur,3500,Apartment,0,3.53,8,26000,9.1,265416
Hyderabad,Madhapur,2200,Apartment,13,9.22,8,10500,2.31,67375
Hyderabad,Madhapur,2500,Apartment,2,3.66,7,19500,4.88,142187
Hyderabad,Madhapur,3000,Apartment,4,4.69,6,18500,5.55,161875
Hyderabad,Madhapur,1800,Villa,19,2.48,8,13000,2.34,68250
Hyderabad,Madhapur,3000,Villa,16,2.01,8,23000,6.9,201250
Hyderabad,Madhapur,3000,Villa,19,5.13,5,23500,7.05,205625
